BBLCOUNT        1.0         0
0xb779e4d9 1 2 8
0xb779e4c6 1 5 19
0xb779e480 1 2 8
0xb779ea26 1 3 14
0xb779e6e4 0 6 29
0xb779e6d9 1 3 11
0xb779e6bc 1 6 29
0xb779e4bb 1 3 11
0xb779e4b3 1 3 8
0xb779e4af 1 2 4
0xb779e4a4 11 4 11
0xb779e4a0 11 2 4
0xb779ec10 1 3 12
0xb779ec52 1 8 37
0xb779ec48 1 3 10
0xb779ec30 1 7 24
0xb779ec1c 1 5 20
0xb779f7cb 1 3 10
0xb779f7a9 0 4 14
0xb779f7b7 0 3 8
0xb779f76b 0 3 12
0xb779f79f 1 3 10
0xb779f79f 0 3 10
0xb779f792 0 3 13
0xb779f78b 1 3 7
0xb779f78b 0 3 7
0xb779f77e 0 3 13
0xb779f777 1 3 7
0xb779f777 0 3 7
0xb779f560 1 3 10
0xb779f7d5 0 4 18
0xb779f7e7 0 3 10
0xb779f7e7 1 3 10
0xb779f7f1 0 3 14
0xb779f7f8 1 2 7
0xb779f7ff 1 8 32
0xb779f81f 1 5 17
0xb779f830 1 3 14
0xb779f83e 1 3 14
0xb779f84c 1 6 25
0xb779f865 1 5 17
0xb779f876 1 3 11
0xb779f881 1 3 15
0xb779f890 1 9 48
0xb779f8c0 1 1 5
0xb779f418 1 2 11
0xb779f4a8 2 4 14
0xb779f49f 2 2 9
0xb779f496 3 2 9
0xb779f4eb 0 10 38
0xb779f4ca 0 9 33
0xb779f4bc 1 6 14
0xb779f492 1 2 4
0xb779f471 1 8 33
0xb779f464 1 4 13
0xb779f43b 1 7 41
0xb779f42d 1 3 14
0xb779f423 1 2 10
0xb779fd81 1 4 9
0xb779f411 0 3 18
0xb779f401 1 4 16
0xb779f3fb 0 5 22
0xb779f3e7 0 5 20
0xb779f3d7 1 4 16
0xb779f397 1 4 16
0xb779f38a 1 3 13
0xb779f37d 1 4 13
0xb779f37d 0 4 13
0xb779f370 0 3 13
0xb779f363 1 4 13
0xb779f1ab 4 7 25
0xb779f520 1 2 7
0xb779f573 0 12 46
0xb779f56a 0 4 9
0xb77a12ee 0 1 5
0xb779f56a 0 4 9
0xb779f560 0 3 10
0xb779f54b 1 7 21
0xb779f53b 1 4 16
0xb779f536 6 2 5
0xb779f527 6 5 15
0xb779f54b 2 7 21
0xb779f53b 2 4 16
0xb779f536 3 2 5
0xb779f764 1 3 7
0xb779f511 1 5 15
0xb779f4eb 1 10 38
0xb779f4eb 0 10 38
0xb779f4ca 0 9 33
0xb779f4b6 2 7 20
0xb779f4ca 1 9 33
0xb779f4b6 1 7 20
0xb779f4a8 1 4 14
0xb779fdb3 1 2 11
0xb779fda7 1 2 12
0xb779fd97 1 3 16
0xb779fd8a 1 4 13
